gameLabel,videoTitle,disagreement_type,vader_compound,roberta_confidence,textClean
Project Sekai,Project Sekai Hot Takes,VADER Positive / RoBERTa Neutral,0.9995,0.4390934109687805,"this was supposed to be short but i ended up rambling my bad. 1. agreed! i also find annoying how i'll accidentally click a team section and get inmediately gunjou sanka'd. it's kinda repetitive 2. i'd honestly kill for a haruka-an-minori-kohane song. they'd sound so super good! also i made an entire essay about a potential mafukasa cover for boku wa kuuki ga yomenai by cosmo- OH ICHIKA AND KANADE SHOULD SING TOGETHER... BUT... 3. NEVER THOUGHT ABOUT IT BUT IT'D BE SO CUTE... there are so many games that take place in shibuya, it'd be cute to make npcs resembling characters from those games... the shibuya extended universe (? 4. AGREED TIMES HUNDRED, they do feel very samey... even back when there were only two 4* that gave you clothes, it seemed like the perfect opportunity to have different clothes, but no... i recently got carnation mafuyu and i realized that the most different dress (hers) didn't get an outfit, while luka and kanade's are really similar- 5. yeah, it's up to the point i buy outfits for the boys to up a rank instead of because i like the outfit on The Guy 6. i feel like they're kind of avoiding the thing? because i think it's widely accepted that mizuki is transfem (one of my hot takes is that i don't like enseka using they/them for mizuki because realistically you'd use she/her, at least to their face) but canon refuses to outright confirm this, and i'm afraid they'll instead go ""oh, mizuki's actually an otokonoko lol!"" which. i mean. they got them singing villain of all things. *villain.* but still- 7. SO IT WASN'T JUST ME? I'M GLAD. i lovelovelovelovelooooved insatiable pale color, it was so nice seeing kanade reassuring ena, i really felt her struggle and rooted for her... but the nomad event felt very samey, even with all the class things and introducing futaba... like i love ena but her (main? haven't read rainbow canvas yet, she was not the focus but i really liked the shinonome focus) events are kind of eh. 8. i feel like first we'd need more two people covers, and there aren't many, sadly. besides the ones you've said, the only that pop into my mind are fixer, king and running into the night (which is still chara+vocaloid but still) 9. YEAH... i feel like they work better when they're implemented into events, like tsukasa+saki's flashbacks on the doll festival event or mizuki+rui's on the first kamiyama fes. tricologe, city, and now i tie the ribbon events are one of my least favorites, they were so. boring. 10. i feel like leo/need events are either REALLY, REALLY GOOD or boring as all hell. i love the characters, but the events feel like a drag sometimes. 11. i think it's fun! though the themes do give me whiplash sometimes, yeah 12. I'VE BEEN SAYING THIS FOR FOREVER. tsukasa and kanade specially because they KEEP BUMPING INTO EACH OTHER but never actually meet. i love the leader squad they're so fun but... i don't know if you know this since you said you don't really know what's going on on jpseka, but recently (for the third anni) the leaders had a focus, and i was happy, because AT LEAST they'd interact, right? i mean, tsukasa got a 4*! must mean something-! nope. it's just a general view or their new school year. cool. minori+tsukasa and kohane+tsukasa got a kizuna/trust right before the event started and it felt so undeserved. ALSO AGREED ON NENE, the first anni event was more about her than it was tsukasa. he wasn't even in the 4koma or the after-event convos. it was nene. it's always nene. why. i also feel like we don't know anything about the guy? he's so secretive! his sekai is so secretive! everything we know about his past is extremely sad, but canon keeps refusing to acknowledge it! he's also barely on mixed events unless he's the focus, which 🤔why did he get the pinocchio-p comm. why is tondemo wonders so concerning. why does he parallel mafuyu so much. it's *mafuyu.* also the tondemo wonders event was more of an emu focus than it was tsukasa's, and he kept being excluded from nene's events... what's with the constant tsukasa exclusion? 13. I THOUGHT ABOUT GENDERBENDING TOO... but in my version mizuki would act as if everything is normal lmao. ALSO AGREED ON THE NPCS i love sakurako i'd love to have her as a main chara, even for a day fejrhbgehr -n25 april fools is kanade's dad bursting out of the hospital to finally end mafuyu's mom- 14. i haven't really thought about that! shiho is one of my least main characters, to be honest, but i do like her friendship with kohane and minori, it doesn't feel like she's holding it hostage lmao one hot take i have is that kanade is at her best *away* from mafuyu. i feel like she acts as a satellite for her, it's kind of concerning. her second and third focus stopped her storyline with her dad (WHICH HAS BEEN ON A CLIFFHANGER EVER SINCE CARNATION RECOLLECTION, YOU KNOW, TWO YEARS AGO) to focus on mafuyu's issues. samsa, her third song, is even about how she's going to protect mafuyu. and i get it, kanade is really selfless, she wants mafuyu to smile above anything else, mafuyu is a priority because of her mom and samsa is a banger, I KNOW, but it's giving a weird message. minori had to come and be like ""i'm sure your friends would want you to smile! at least i do!"" for kanade to go ""wait that is a thing huh? also are niigo my friends i'm not really sure-"" which is????? kanade. makes me worried where her character will go due to current status quo, but i'll always have spojoy. that's... reassuring?"
Project Sekai,I want jp server so badly- #pjsk #projectsekai #colourfulstage,VADER Positive / RoBERTa Neutral,0.9994,0.7312060594558716,​@shusumiiHuh okay huh okay huh okay huh okay huh okay Huh okay huh okay huh okay huh okay huh okayHuh okay huh okay huh okay huh okay huh okay Huh okay huh okay huh okay huh okay huh okayHuh okay huh okay huh okay huh okay huh okay Huh okay huh okay huh okay huh okay huh okayHuh okay huh okay huh okay huh okay huh okay Huh okay huh okay huh okay huh okay huh okayHuh okay huh okay huh okay huh okay huh okay Huh okay huh okay huh okay huh okay huh okayHuh okay huh okay huh okay huh okay huh okay Huh okay huh okay huh okay huh okay huh okayHuh okay huh okay huh okay huh okay huh okay Huh okay huh okay huh okay huh okay huh okayHuh okay huh okay huh okay huh okay huh okay Huh okay huh okay huh okay huh okay huh okayHuh okay huh okay huh okay huh okay huh okay Huh okay huh okay huh okay huh okay huh okayHuh okay huh okay huh okay huh okay huh okay Huh okay huh okay huh okay huh okay huh okayHuh okay huh okay huh okay huh okay huh okay Huh okay huh okay huh okay huh okay huh okayHuh okay huh okay huh okay huh okay huh okay Huh okay huh okay huh okay huh okay huh okayHuh okay huh okay huh okay huh okay huh okay Huh okay huh okay huh okay huh okay huh okayHuh okay huh okay huh okay huh okay huh okay Huh okay huh okay huh okay huh okay huh okay
Project Sekai,Ranking Every Mobile Game Ever 18: Hatsune Miku: Colorful Stage/ Project Sekai,VADER Positive / RoBERTa Neutral,0.9994,0.6073094606399536,"project sekai/colorful stage has pretty much anything and everything in it. for the rhythm game part: (the number is the difficulty level range) easy (5-10) and normal (10-16) charts for those who have never touched a rhythm game before, you get used to tapping and holding in a steady rhythm until you can make your way up to hard then there's hard (15-25) and expert (21-32) charts for people who are trying to improve at the game, these require more coordination and overall speed and finally master (25-37) charts and these tend to be more pattern focused rather than speed (except the higher level ones which are both) and those tend to be so fun if you can handle them because they have so much freedom to do whatever they want with no difficulty block, look up ""seibai itaAAAAAsu master 31"" if you want an example, love that chart. and.. i just said master had no difficulty blocks, but what if you managed to break it anyway? you get append (24-38), which is a difficulty you play a different way, with multiple fingers. for some reason most people absolutely despise them because they play with thumbs but i think that because of the ACTUAL no difficulty block, they can have the most fun charts in the game. so now we have the rhythm game part, but what songs exactly do we play? (mostly) japanese vocaloid song covers and original commissioned songs. songs are commissioned for the in-game stories. as mentioned in the video, there are stories in the game, and yes they can be slow paced but honestly, they're extremely well written for a game that's supposed to be a cash grab. they are actually life changing, especially paired with the song born out of them. kashika, donketsu, engeki have all changed my life, you can look them up if you want. some songs have 2DMVs with some nice art and editing, some songs have 3DMVs with some nice choreography, some songs have both and some none and i think that's just another thing in the game, if you draw, video edit or like choreography, those can be good references and you can learn from them. back to the stories, some scenes are illustrated, which are turned into cards that you can pull in the gacha system of the game, and you can use them on your 5 card team to play the rhythm game. they all have skills that increase score but some trades some of that off for healing or perfect locking (turning greats or lower notes to perfect for a few second) and these are pretty nice for people who like to play by their rules. if it feels too hard, these cards can help you. and also there are cards who increase even more score but only on perfect notes. if you don't like any of that you can play rank match when you reach rank 50 and have 10 full combos on expert/master songs. these are absolutely 100% skill based since cards don't do anything and the winner of the 1v1 is based on who scores more points (perfect = 3, great = 2, good = 1, bad and miss = 0), so the person with the highest accuracy wins. the songs are chosen randomly between the current 607 different songs pool and harder songs get chosen the higher your rank is. that's mostly it. there's also virtual live shows and the ""mysekai"" gamemode which is like a open world social simulation game. the global (english) version which is one year late on updates is in any app store (which is okay, you can play on it if you want) and the japanese version which you can download with a vpn or through an apk or by just being japanese, lol. this was nice to type, and my final thoughts are: if you're all in for the rhythm game, there's probably better ones that you can get addicted to for a while and then quit. but as a more complete game in general, project sekai is definitely the best mobile game i've ever seen. it's really beginner friendly but also has room for more veteran players. even though it's a gacha game and paying does get you an advantage in the event leaderboard, you can absolutely do well anyways since it values effort and consistent playing over than anything. it's what motivated me to learn japanese, too. it really all feels different to understand the stories and songs like how they're originally written, since there are things impossible to translate. project sekai is a great piece of japanese media for practicing japanese considering all of this can be in japanese if you download the japanese version. thanks for reading, mysterious person."
BanG Dream,comparison of Bandori and PJSK cover songs (pt. 2),VADER Positive / RoBERTa Negative,0.999,0.5558810234069824,"This is super long and I might be super late to this, so bear with me. Children Record (reboot) - Afterglow. The key Ran sang it in should have been the key Len sang it in; either that or replace him with Miku. Ego Rock - Neither. This song is in a list of Vocaloid songs that I completely detest. I hate that song. But, if I did have a choice, I'd choose Hello Happy World Hibana -Reloaded- - I like both, but the arrangement of Roselia's version is PEAK! Villain - Afterglow. I think Ran's strong vocals fit the song better. But, I do like Hinata Sato's cover and Mizuki's alt vocal of the song (these are two totally different things, trust me). Melancholic - Poppin'Party. Their version is different and as someone who is a fan of the original with Kagamine Rin V2 and misses the autotune, I think Kasumi's vocals are a breath of fresh air. Also, I like the original version with Rin V2 better than both of them, imo. I'm an old-school Vocaloid fan. Fight me. Kamippoina - Raise A Suilen. I was never a fan of that song either and is in the same list as Ego Rock, but, what settled it for me was LAYER'S vocals. I knew Raychell had a wide vocal range, but I didn’t think she could sing that high Telecaster B-boy - Wonderlands × Showtime. I think this might be my only ProSeka choice because of how high the Afterglow version is and how singable Emu and Nene's version is and I think the key they sing in should have been the key Len sang in in the original. Kyoufuu All-Back Both again, but I like Kokoro's vocals better than Rin (and that is coming from someone who sees her as her favorite Vocaloid). Plus I like the original with Kaai Yuki better, anyway. Dreamin' ChuChu - Pastel*Palettes and Kanon. I like the arrangement and the fact that Kanon gets to sing a bit in this one away from HHW. Otome Dissection - Roselia. Yukina's powerful vocals triumph again. Plus, the song sound better in their style. Non-Breath Oblige - MyGO!!!!! I have heard the actual original song (without Nightcord) with Miku, and I found it impressive that Tomori/Hina Youmiya could sing such a difficult song not exactly meant for humans. Also, the arrangement is PEAK! Kyu-kurarin - Hello Happy World. I think their arrangement is cuter and more expressive and I'm not really a fan of MEIKO and Haruka's vocals in that one. Bocca della Veritá - Raise A Suilen. The production and arrangement is just better imo. Especially in the ""ah-ah-ah-ah"" parts. Yoidore Shirazu - Roselia. Primarily because I think their version is more bouncy and danceable and it's a different song than what we're used to hearing from Roselia. Bad Apple - Roselia (again). I like the arrangement and the vocals. I so wish they put out a full version, tho. Their version captures the angst more than Nightcord's version, imo. Tokyo Teddy Bear - Roselia (again). There were some vocal choices made in the Leo/Need version that I'm not a fan of, so I automatically give it to Roselia. QUEEN - Morfonica. I like the fact that their version is in a lower key, which is what I wish Sega and Colorful Palette should have considered with MEIKO, instead of having her sing it in the original key. I don't like how she sounds in higher pitched songs. You can disagree with me, if you'd like."
Project Sekai,Project Sekai Hottest Takes,VADER Positive / RoBERTa Negative,0.9987,0.7958774566650391,"SO TRUE ABOUT VBS WRITING I have too many qualms with it rn but mainly. why did they pass rad weekend??? that shouldve been the end goal imo. I think they were too restricted in their main events being well live events only and all that they didnt know what else to do with vbs then make them surpass their supposed ULTIMATE DREAM THAT ALL VBS WORKED SOOOO HARD TO PASS only to forget abt it and go to america immediately after surpassing it. Also, about over rad whatever? why did nobody show up to it? RUI LITERALLY SAID HED HELP HE WAS NOT THERE THE TENMAS WERENT THERE ENA WAS NOT THERE MINORI? ALSO NOT THERE NOBODY WAS RHEREHRHEHRHEH WHYYY ALSO THEY WORKED SO HARD WITH IT BEING AKITO AND ANS LITERAL LIFELONG DREAM ONLY TO NOT EVEN SHED A SINGLE TEAR AFTER SURPASSING IT? like omg woo we won now what omg lets go to america yay WHAT IS THAT UGHFHFJ I HATE VBS WRITERS WHAT DID THEY DO TO MY BABIES WHY ARE THEY IN AMERICA They need more individual character focus so bad too also they even started screwing up the story way back when like idk kohane sheep event happened even i feel like all the writing efforts are just gone atp why does kohane not have a backstory why did kohane NEVER struggle at keeping up withh them ever? maybe im just an akito superfan and a shinonome kin but that is SO UNREALISTIC???? Like sure shes a super duper amazing singing prodigy love kohane but whyyyyy they couldve focused on her improving!??!!?'djfhcbcjd whats all their relationships with their family like we need more ena in vbs stories like akito keeps showing up in n25 wheres ena in vbs.. everything in vbs is a mess 💔 they have so much potential and yet it still seems like all the writers are running out of ideas vbs is definitely their least favorite it seems"
Project Sekai,A cynical review of the Hatsune Miku gacha game -  Project Sekai: Colorful Stage,VADER Positive / RoBERTa Negative,0.9985,0.7483661770820618,"oh i totally get how you feel... before project sekai's release, i was really bitter. i thought it would never top diva for me, i thought the characters were boring, and i thought the rhythm game was lame. but everything grew on me SO hard. diva was special to me, and as much as i hate how sega tries to profit off of it by making rehashed releases, it will never stop having a special place in my heart. and when i heard of project sekai's release, i was angry because i thought ""why would they make original characters when they can make a game with vocaloids alone instead!"" or ""vocaloids in a story setting again? ugh!"" or ""this is corporate trash!"" and no, the mvs aren't better. the vocaloids don't shine in the story. and the vocaloids aren't even the main focus of the game. but i somehow love the game now. and i think it's because i realized i wanted the game to be something it was never intended to be. the characters are all so fun and unique. i love the conflicts and themes in the story. i love a lot of the charts in the game. so much of the card art and the concepts behind it are incredibly creative. the song selection combines old and new vocaloid songs. and the vocaloid's personalities vary throughout the groups, channeling a part of what vocaloid always is and always should be; varied and artistic. everything in this game is varied, actually. the vocaloid's personalities, the styles, the aethetics, the art, the symbolism; everything. this game never was what i wanted at first; a game that uses vocaloid characters and is just a plain old song list. instead, i got something better, being a game centered around the perspective looking INTO vocaloid. it's the perspective of vocaloid nerds and lovers, or just those who experience the genre in general. this game feels less like a game about vocaloid characters, and more like a love letter to vocaloid as a whole that is contained within a game. it's detailing what vocaloid is to people and how it can help them (side note, one of the themes in 25ji story being about ""saving people with songs"" made me feel deeply understood. it's something that not only i have noticed in the vocaloid space, but something that i am able to relate to. and seeing that the creators of the game's story understand that..? god. it fills me with a feeling i can't describe. it's like the community i love is finally being understood by artists who can put their work out there and reach a larger audience through a game like this. it just feels... good). vocaloid, something near and dear to me, has been put in hands that i trust. and it's being used so incredibly well. oh also adding this! i just wanted to give my take on leveling cards for your score. i honestly don't think it's that bad. in fact, i think it just adds more to the game. leveling cards just gives me more incentive to play songs. i've found that i don't return to games like project diva (when it's not watching mvs) much anymore because i really have no incentive to play since i've unlocked everything. but the gacha system makes it impossible to own everything, and logically, you can never run out of cards to level because of 2 stars and new 3 stars getting added every week or so. without leveling cards, a lot of fun grinding and other features dependent on card strength would be lost. i don't see it as them saying card stats > skill, but more as it being card stats AND skill matter. with skill, you can get full combo crystals, and with cards, you get score crystals. plus, that makes it so players who struggle with rhythm games as a whole don't miss out on major rewards while still rewarding players for their skill in other ways. but this might also just be because leveling up cards is just satisfying for me alskjf"
Project Sekai,project sekai is ok I guess 🤷‍♀️,VADER Positive / RoBERTa Neutral,0.9984,0.477340817451477,"hello!! i am a big proseka player as a former big bandori player. i totally understand your criticisms and i can see where youre coming from. there are some things that seperate bandori and proseka for me, which is mainly why i moved. warning: this is going to be a semi rant, and a little confusing. but as someone who has played bandori for about 2.5 yrs and proseka for about a year i thought this is my time to shine. 1: proseka is way better at the rhythm game aspect. i know you already covered this, but i also wanted to touch on it. bandoris hardest song is lvl. 30, and albeit hard, it gets boring sometimes when you want to play a hard song and you’re stuck with either that lvl 30 (hell! or hell?) or the two level 29s, which is roku chounen and this other poppin’party song which imo is not charted well. BUT, proseka has a more wide selection. it has more interesting note patterns and better charting. im going to leave this section here because you touched a lot of proseka charting and ill mostly sound like a broken record. 2: master vs. special proseka has something called master mode, and bandori has something called special mode. the difference here is that special mode is just a new chart for the map, it can be harder or easier than expert. but master mode is always a couple levels up to expert which i really enjoy. for example, on proseka, if theres a song that i like but is kind of a bore to play on expert, like its lvl 23 or 24, i can easily switch to master and its a lvl 26 or 27. this also is helped with prosekas good charting because usually in bandori (and as of late especially) special mode chartings arent really that good. the one thing i will say though is that special mode is always available to the player, whilst master mode you have to unlock by playing expert and then getting less than 7 goods, bads and misses all together. you can kinda take that how you will. 3: gacha now im personally a fan of idol/gacha rhythm games, hence why i like proseka and bandori (amongst some others like d4dj for example). i will say that although both gachas are pretty unforgiving, prosekas gacha is way better. first, they have a pity system. 5 ten pulls and you get a guaranteed 4 star. 10 ten pulls and you get a guaranteed featured 4 star from that gacha. second, they have gacha tickets which can be used around the game (permanent/limited gacha tickets). this means if you got 15 spare gacha tickets from one gacha and didnt use it to spark for a specific 4 star, they roll over and you can use those gacha tickets for another gacha (given that its got the same permanent v limited ticket). bandori pretty much has none of this. sure, its got the spark aspect and the gacha ticket (in a different way, kinda groups all of it together), it doesnt have the pity or the perm. lim which i think is better. 4: other aspects (merch/anime/etc.) bandori wins in this aspect. obviously this is unfair, because they have been running for way longer than proseka (bandori is running its 5.5 anniversary on jp, and proseka is running its 2 yrs anniversary on jp as well), there is still a lot of bandori merch that had been pumped out. like, so much. posters, manga, 3 season anime, countless figures, nendoroids, plushes, keyrings, mini series, and a LOT of clothing items, but etc. but, i will say that for only 2 year anniversary proseka has also pumped out a lot of merch. this includes stuff like even more plushes, some figures, 2 nendoroids, keyrings, acrylic stand ups?? or whatever theyre called, and honestly a lot more stuff that is mostly avaliable in japan. even as a merch collector i dont think i know all of the proseka merch that is out there (despite my scouring). so, after all this, i just thought i would give a slightly indepth comment rant about proseka vs bandori. did you only mention bandori for like 10 seconds? yeah. but, im mostly hoping that this might give you a little more insight between them."
Project Sekai,Project Sekai Hottest Takes,VADER Positive / RoBERTa Negative,0.9983,0.5630689859390259,"My original take was that kohane doesnt fit as leader but i saw wayyy too many ppl with that as their hot take so im gonna change it: I like the idea of commissioning songs from vocaloid producers but hate the execution oml while all the comms are bangers and i have a whole playlist with all of them, it doesnt make much sense ingame as in it creates sm inconsistency like mmj is probably the most consistent all their songs feel like real idol songs and fit them really well mmj themselves have a more cute and lively idol concept but even with songs like supernova and antiyou they still feel like they fit with the idol vibe overall mmj comms feel like the producers really understood the assignment this is not the case for vbs who is probably the least consistent with their music. Vbs is the street group and as someone who grew up on street and vocaloid when i first saw them i was super excited just to get hit with forward (i do love forward) but forward...for the street group??? Vbs is clearly a western inspired group they even have an arc where they go to america so where is that in the music??? Theyre more of a pop groups that wear street styled clothing rather than actually being street. We have metal from fuel, jazz from blender, pop from beat eater, ultra c sounds more like something youd hear at a club than on the street, obvs these are all good songs but street where??? Even their more ""street"" songs are just pop songs with a short rap verse (and the raps are only in a few songs) it bothers me that they dont have a true signature sound they switch genres every other song and i feel its mostly due to pjsk not having their own team making these songs. I think it mostly bothers me bc as someone who plays other rhythm games, these games dont struggle as much with song consistency bc most of them have teams dedicated to making their music while pjsk relys on outside forces (the vocaloid producers) and obviously not every producer makes the same or even similar music, units like mmj or leoneed dont struggle with this alot bc they mostly get commisions from producers that generally make music within those genres, wxs and n25 are mostly consistent but vbs is the worst offender💔💔💔 i probably didnt word half of this right but oh well lmao"
BanG Dream,bandori covers after project sekai feels like,VADER Positive / RoBERTa Negative,0.9982,0.7568972110748291,"Pjsk has Niigo/N25 No all jokes aside, imo the characters are darker and the songs are generally songs that people in the Vocaloid fandom would actually know, versus Bandori songs, I seriously don’t know half of them and it kinda makes me not care about them. Also the gameplay in Bandori is… yeah, a bit weird. Project Sekai is actually so much smoother than what I expected. Also, I personally just don’t like Bandori’s art style as much, it feels more stiff and “2000’s anime” than Pjsk does. And, long rant here! I know I already talked about the stories being better, but I honestly, really do think Niigo/N25 and maybe also VBS is Pjsk’s selling point. When I first downloaded Pjsk, I genuinely didn’t think I’d play it for more than a month, but here I am, 7 months later… People who have played rhythm games can easily see tropes like childhood friends (L/N), cute idols (MMJ), and “:D WE ARE HAPPY!!!” (WxS), and I’m not saying they’re bad (I absolutely ADORE MMJ so much!) but it’s just… we’ve seen those already, y’know? They don’t really bring anything new to the table. With VBS, you get street singers and angst, with Niigo/N25, … It’s just full of angst and pain, honestly, and the characters are so relatable that it hurts. Kanade’s savior complex and inability for self care, Mafuyu’s lost sense of self and her extremely relatable (especially to Asians) home situation, Ena’s frustrations with her hobby and the fact she’s very obviously not the best person but just a normal person, and Mizuki being an outcast in school who pretends everything is fine and acts as the mediator… Honestly everyone has got situations that people would relate to. It’s genuinely refreshing how these things are actually getting shown in media, and for me the dark themes make them so much more enjoyable because I don’t feel like I’m just watching yet another group of happy fictional people whose only issues are “oh no I accidentally spilled my drink uwu…” because, that’s not realistic, for one, and that makes me feel very disconnected. I love happy characters, don’t get me wrong, but when they’re always seen as only happy, I like them a lot less. (Probably part of why I actually like WxS and MMJ despite them all being happy go lucky.) With that said, :D people have different tastes so I can’t speak for everyone! Some people simply like Bandori because they like certain characters, or they like the music, or whatever else. That’s completely fine, I’m just saying why I prefer Pjsk over Bandori."
Project Sekai,Project Sekai Hottest Takes,VADER Positive / RoBERTa Negative,0.998,0.7442005276679993,"Hot Take: Who the hell writes for VBS? Not saying it’s bad, Akito is my favorite character, VBS is my favorite unit. But they seem shallow, bland. Everything is about their careers and passion, and I am tired. We get more of WXS’s characters as a people, even if they are going overseas or whatever. We get to see the idols having personal struggles. But VBS? They had their best moments between a Kashika event and the Gekokujou event. But now that they surpassed Rad Weekend? It would be the perfect opportunity to write about Burnout, or how it’s okay for yours dreams to not make sense anymore, or to take a break, anything. But the “Let’s conquer the world” doesn’t seem…. believable for me. Also hate how they don’t bring their parents on this. Or make the “father figure mentor” a thing. Acknowledge that maybe Akito doesn’t have a proper support on his dream, that’s why he rather resort to Ken or people on the vivid street. Make Kohane have a backstory. Maybe her parents worry too little, that’s why she got along with Taiga. Idk GIVE ME ANYTHING Touya used to be a character that could hold events on his own, now? He basically needs Tsukasa or Akito to function on an event, he supports those characters, he’s funny with them. He doesn’t work “alone” anymore. Make him interesting again! Maybe he wants to have a solo career! Who knows? Not saying that he should leave VBS, but it would be interesting to see him publishing his own songs and still working with VBS, that normal to happen! All that yapping, I just think VBS seems like it’s out of things to do. They achieved their dream, now what? I have a feeling that PJSK it’s running out of things to do. Wouldn’t surprise me if they “ended” those characters stories on the 6th anniversary or something. I just think VBS it’s being “left out” the most by the writers."
